track_album_name,valence,energy,danceability,tempo,loudness,cluster
Honky Chateau,0.32630039690829327,0.5329716034708428,0.5891750896641669,0.4572812820273922,0.7886690829570536,0
In Utero (Deluxe Edition),0.36808021725506573,0.6422121511568474,0.21421584610368438,0.801132540348044,0.765100127563934,2
Hotel California (2013 Remaster),0.8913724670983914,0.7564637331403752,0.6609064232148679,0.31731316707558205,0.8265940429667727,3
Toto IV,0.7336536452893252,0.37362071280960674,0.6652537767633953,0.23026595028831126,0.6075485451637072,3
Agents Of Fortune,0.3712137037810737,0.9288433129751714,0.29790240191283557,0.4825926271002206,0.8001903334885699,2
Mellon Collie And The Infinite Sadness (Deluxe Edition),0.9759766033006056,0.7885343526445233,0.7695902619280512,0.40708821184922933,0.7729159495413774,3
The Wall,0.14769166492584082,0.3666052647930743,0.4489729377241604,0.40855823679824427,0.7182861886731327,0
Led Zeppelin IV (Deluxe Edition),0.7514100689367035,0.8657042808263797,0.4109335941745462,0.17165129351843228,0.8145260898617046,3
Songs For The Deaf,0.6845623563818676,0.5850863601650835,0.48918595804803827,0.6324161205834551,0.8739546844311257,3
The Captain and Me,0.8495926467516188,0.913810210082602,0.5609172915987392,0.35801836495957434,0.8260068439062912,3
Mellow Gold,0.790056402757468,0.6121459453717085,0.6467775241821541,0.1923196372558154,0.7617186709052991,3
American Pie,0.48297472320869017,0.4828612604956113,0.5109227257906749,0.4669969046657764,0.7362261323830159,0
Outlandos D'Amour (Remastered 2003),0.6615834551911426,0.7494482851238428,0.6076513422454081,0.44453761503980466,0.7930022070585379,3
Get The Knack,0.9059954042197618,0.7013423558676205,0.5728725138571893,0.5125055643550007,0.7797801040759715,3
Transformer,0.3712137037810737,0.3184993355368521,0.5609172915987392,0.2913651562677931,0.6345799501893212,0
Jailbreak (Deluxe Edition),0.7712554836014204,0.7073555970246482,0.4196283012716009,0.16869571518784227,0.774819284427076,3
Highway to Hell,0.41090453311050756,0.9148124169421066,0.5598304532116073,0.3493690280236446,0.876262984186122,2
The Stranger (Legacy Edition),0.2907875496135366,0.4958899496691715,0.5141832409520704,0.3970309636945248,0.8384190171502623,0
Ten,0.5905577606016293,0.8767285562809306,0.2446473209433757,0.13860161288652856,0.8504262255249359,2
Foreign Affair,0.7461875913933569,0.7384240096692918,0.6554722312792087,0.28797478182552255,0.7801445724583393,3
Blood Sugar Sex Magik (Deluxe Edition),0.779611447670775,0.9378631747107131,0.6598195848277361,0.22435996977131795,0.7724704881851501,3
Nimrod,0.6459160225611029,0.43275091752037986,0.4522334528855559,0.24003333436856222,0.8144855933747749,0
Building The Perfect Beast,0.9164403593064548,0.5500091200824215,0.4967938267579611,0.6662163421224263,0.6950817016623809,3
The Doors,0.793189889283476,0.7524549057023566,0.3935441799804369,0.21536383117488123,0.7792536497458846,3
Ill Communication,0.5362439941508251,0.9398675884297222,0.28812085642864904,0.6206145118378419,0.8248526940287931,2
Hysteria (Super Deluxe),0.5623563818675579,0.9549006913222917,0.22617106836213458,0.19025953186951977,0.8741166703788448,2
There Is Nothing Left To Lose,0.5299770210988093,0.9208256580991343,0.4413650690142376,0.45428429454330893,0.8918136351671494,2
Crimes Of Passion,0.9550866931272194,0.581077532727065,0.7413324638626235,0.409795335258859,0.7900662117561302,3
Mellon Collie And The Infinite Sadness (Deluxe Edition),0.4652182995613118,0.7213864930577131,0.37506792739919576,0.38112984875306694,0.787433940105696,2
